,Post_Content,Date,Comments_Shares,All_Responses,Brand
0,,,,,MarksandSpencer
1,,,,,MarksandSpencer
2,,,,,MarksandSpencer
3,,,,,MarksandSpencer
4,,,,,MarksandSpencer
5,,,,,MarksandSpencer
6,,,,,MarksandSpencer
7,,,,,MarksandSpencer
8,"With Christmas just around the corner, our four favourite foodies are unwrapping some delicious dishes for the next instalment of What’s New at M&S Food, and a special guest is back to help – could it really be Father Christmas? Not quite…
With a foot-long Pig in a Blanket, our veggie Ricotta Stacks, and an irresistible Belgian Chocolate Cherry dessert on the menu this month, choosing a favourite festive food was no easy task for our tasters! Watch the latest episode to find out what they chose, and pop into M&S to discover your own #MyMarksFave🎄",6 hrs,47 Comments42 Shares28K Views,135,MarksandSpencer
9,"With Christmas just around the corner, our four favourite foodies are unwrapping some delicious dishes for the next instalment of What’s New at M&S Food, and a special guest is back to help – could it really be Father Christmas? Not quite…
With a foot-long Pig in a Blanket, our veggie Ricotta Stacks, and an irresistible Belgian Chocolate Cherry dessert on the menu this month, choosing a favourite festive food was no easy task for our tasters! Watch the latest episode to find out what they chose, and pop into M&S to discover your own #MyMarksFave🎄",6 hrs,47 Comments42 Shares28K Views,135,MarksandSpencer
10,"Just in time for Friday, our Louis Vertay Brut Champagne is at the new lower price of £15, down from £20. It’ll be at that price right up until New Year’s Eve, so there’s plenty of time to pop the cork on your festive celebration. Cheers! 🍾",22 hrs,49 Comments41 Shares,251,MarksandSpencer
11,,November 29,,,MarksandSpencer
12,"Add a personalised touch to your gift giving this Christmas with our super-soft alphabet cushions. Opt for initials of your loved ones, or buy multiple to spell out a word of your choice, these cushions make a great addition to any home. Shop now. http://po.st/alphabetcushions",Yesterday at 3:38 PM,19 Comments7 Shares,212,MarksandSpencer
13,"Add a personalised touch to your gift giving this Christmas with our super-soft alphabet cushions. Opt for initials of your loved ones, or buy multiple to spell out a word of your choice, these cushions make a great addition to any home. Shop now. http://po.st/alphabetcushions",Yesterday at 3:38 PM,19 Comments7 Shares,212,MarksandSpencer
14,"Want a fuss-free Christmas lunch? It's your last chance to shop online using our Christmas Food to Order service before tomorrow's 5pm deadline. For a showstopping centrepiece, try our British Free-Range Pembrokeshire Bronze Turkey, which took the top spot in @BBCGoodFood's Christmas Taste Awards. Reared in Wales on rich, clover-strewn pasture, these birds have a flavour and texture that's second-to-none. Place your order here > http://po.st/CFTO
#MyMarksFave",Yesterday at 9:00 AM,23 Comments16 Shares,177,MarksandSpencer
15,"Want a fuss-free Christmas lunch? It's your last chance to shop online using our Christmas Food to Order service before tomorrow's 5pm deadline. For a showstopping centrepiece, try our British Free-Range Pembrokeshire Bronze Turkey, which took the top spot in @BBCGoodFood's Christmas Taste Awards. Reared in Wales on rich, clover-strewn pasture, these birds have a flavour and texture that's second-to-none. Place your order here > http://po.st/CFTO
#MyMarksFave",Yesterday at 9:00 AM,23 Comments16 Shares,177,MarksandSpencer
16,"We're spreading the good cheer this Christmas, and the next local hero to receive a festive surprise is Merline Odisla. We asked the nation what their M&S Christmas favourites are and, for Merline, the answer was easy – our mince pies. As the leader of her local London choir, she deserved a sweet festive treat so we surprised her with enough of her M&S favourite to keep her choir singing carols until Christmas!",December 13 at 5:00 PM,21 Comments55 Shares398K Views,383,MarksandSpencer
17,"We're spreading the good cheer this Christmas, and the next local hero to receive a festive surprise is Merline Odisla. We asked the nation what their M&S Christmas favourites are and, for Merline, the answer was easy – our mince pies. As the leader of her local London choir, she deserved a sweet festive treat so we surprised her with enough of her M&S favourite to keep her choir singing carols until Christmas!",December 13 at 5:00 PM,21 Comments55 Shares398K Views,383,MarksandSpencer
18,"If you often find yourself hovering around the cheese plate at Christmas parties, then foodie taster Emma Willis’s favourite may be the one for you. So good you can dip “absolutely anything” in it, our Taste of the British Isles Cheese Fondue is impossible to resist. What's your #MyMarksFave of many?",December 13 at 2:00 PM,30 Comments10 Shares55K Views,105,MarksandSpencer
19,"If you often find yourself hovering around the cheese plate at Christmas parties, then foodie taster Emma Willis’s favourite may be the one for you. So good you can dip “absolutely anything” in it, our Taste of the British Isles Cheese Fondue is impossible to resist. What's your #MyMarksFave of many?",December 13 at 2:00 PM,30 Comments10 Shares55K Views,105,MarksandSpencer
20,"For some, cheese is the centerpiece of Christmas festivities. Our new baking camembert with sweet chilli glaze is sourced in the Loire valley with no shortage of oozy, creamy deliciousness. What do you think about a bit of spice in your cheese – some like it hot? Others do not? #MyMarksFave",December 12 at 5:00 PM,229 Comments90 Shares129K Views,1K,MarksandSpencer
21,"For some, cheese is the centerpiece of Christmas festivities. Our new baking camembert with sweet chilli glaze is sourced in the Loire valley with no shortage of oozy, creamy deliciousness. What do you think about a bit of spice in your cheese – some like it hot? Others do not? #MyMarksFave",December 12 at 5:00 PM,229 Comments90 Shares129K Views,1K,MarksandSpencer
22,"Our panel of celebrity foodies were in the mood to celebrate this month, trying this year's new party bites and Christmas treats. Deemed the “perfect party nibble,” Rochelle Humes’s #MyMarksFave is our Spicy Pulled Pork Tacos, a zesty twist on a definite crowd pleaser. What is your #MyMarksFave?",December 12 at 1:00 PM,36 Comments13 Shares45K Views,82,MarksandSpencer
