,Post_Content,Date,Comments_Shares,All_Responses,Brand
0,,,,,Morrisons
1,,,,,Morrisons
2,,,,,Morrisons
3,,,,,Morrisons
4,,,,,Morrisons
5,,,,,Morrisons
6,,,,,Morrisons
7,Treat your little one to these cute #Nutmeg Mr Men outfits… Which Mr Men or Little Miss is your little one most like? Tell us below using #MrMen po.st/MStoreFinder,4 hrs,11 Comments3 Shares,16,Morrisons
8,Treat your little one to these cute #Nutmeg Mr Men outfits… Which Mr Men or Little Miss is your little one most like? Tell us below using #MrMen po.st/MStoreFinder,4 hrs,11 Comments3 Shares,16,Morrisons
9,"When cooking your turkey this #Christmas, make sure it is cooked thoroughly by taking a look at these simple steps below #SeasonsEatings",5 hrs,20 Comments52 Shares,100,Morrisons
10,,,,,Morrisons
11,,,,,Morrisons
12,"These bottles of Shloer are now £1 each, they’re great for your festive gatherings po.st/shloer For your chance to win a £20 voucher, simply comment below telling us what your favourite flavour is and comment #schloerforthewin po.st/shloerforthewin",8 hrs,335 Comments29 Shares,254,Morrisons
13,"These bottles of Shloer are now £1 each, they’re great for your festive gatherings po.st/shloer For your chance to win a £20 voucher, simply comment below telling us what your favourite flavour is and comment #schloerforthewin po.st/shloerforthewin",8 hrs,335 Comments29 Shares,254,Morrisons
14,,Yesterday at 4:14 PM,21 Comments24 Shares,110,Morrisons
15,,Yesterday at 4:14 PM,21 Comments24 Shares,110,Morrisons
16,Take a look at these IWC award winning wines. From Chablis Premier Cru to Marques de los Rios Rioja Gran Reserva and priced from £6-£15 everyone’s a winner this #Chirstmas #friyay #winetime po.st/IWCWine19,Yesterday at 4:04 PM,3 Shares,25,Morrisons
17,Take a look at these IWC award winning wines. From Chablis Premier Cru to Marques de los Rios Rioja Gran Reserva and priced from £6-£15 everyone’s a winner this #Chirstmas #friyay #winetime po.st/IWCWine19,Yesterday at 4:04 PM,3 Shares,25,Morrisons
18,"Take a look at our The Best party food range for your festive gatherings. From succulent BBQ pork belly bites, to crunchy tempura prawns. All our party food cooks at 200 degrees, so you can spend time being The Best host :) po.st/TheBestPartyFood",Yesterday at 2:13 PM,19 Comments14 Shares,90,Morrisons
19,"Take a look at our The Best party food range for your festive gatherings. From succulent BBQ pork belly bites, to crunchy tempura prawns. All our party food cooks at 200 degrees, so you can spend time being The Best host :) po.st/TheBestPartyFood",Yesterday at 2:13 PM,19 Comments14 Shares,90,Morrisons
20,"This ‘snow covered’ mini #Christmas tree arrives flat-packed through the letter box, with a ‘pop-up’ hessian pot. The dusting of ‘snow’ makes it a truly festive addition to your home and it can be replanted outside after Christmas po.st/MiniChristmasTree We’re giving three lucky winners the chance to win one. For your chance to win, simply tell us your favourite Christmas tradition below, using #christmaswin po.st/ChristmasWin",Yesterday at 12:03 PM,411 Comments51 Shares,361,Morrisons
21,"This ‘snow covered’ mini #Christmas tree arrives flat-packed through the letter box, with a ‘pop-up’ hessian pot. The dusting of ‘snow’ makes it a truly festive addition to your home and it can be replanted outside after Christmas po.st/MiniChristmasTree We’re giving three lucky winners the chance to win one. For your chance to win, simply tell us your favourite Christmas tradition below, using #christmaswin po.st/ChristmasWin",Yesterday at 12:03 PM,411 Comments51 Shares,361,Morrisons
22,"The Best Hampshire pork fillet. Hand wrapped in prosciutto and filled with a festive cranberry and pork stuffing… Because the best #Christmas presents come hand wrapped. When you celebrate this Christmas, make sure it’s The Best :) po.st/MStoreFinder",Yesterday at 10:03 AM,2 Comments2 Shares8.6K Views,58,Morrisons
