,Post_Content,Date,Comments_Shares,All_Responses,Brand
9,"There’s beef, there’s cauliflower wellington, but for 64% of us it’s all about turkey.
Whatever you sit down to this Christmas #EveryonesWelcome at Tesco.
T&Cs: Pre-order online from 30/11.",December 6 at 9:15 PM,158 Comments56 Shares1.1M Views,821,Tesco
11,"Kyle doesn’t officially work at our Workington branch, but this season he had our most important job: the coveted switching on of the Christmas music! It’s been a great pleasure to have him and his mum Wendy coming in for the last 20 years.",5 hrs,11 Comments4 Shares,163,Tesco
14,"A shower, a good sleep and the perfect Christmas dinner. Georgia Toffolo, Adam Thomas, Mel Sykes and Larry Lamb debate what this year's campmates can look forward to this Christmas, now #imaceleb is over!
However you do Christmas #EveryonesWelcome at Tesco.
18+. For the facts see drinkware.co.uk",23 hrs,10 Comments5 Shares40K Views,74,Tesco
16,"Planning on taking this Christmas reeeeal easy? Enjoy a full Christmas dinner for two with all the trimmings, dessert and bubbly - and none of the hassle. We'll prepare everything for delivery or pick-up, you just pop it in the oven. Take a peek at the menu and the rest of our Festive Food to Order range below (orders close 14/12) http://tes.co/ChristmasForTwo
However you do Christmas #EveryonesWelcome at Tesco.",December 11 at 5:00 PM,40 Comments17 Shares,238,Tesco
18,"It’s an age-old Christmas debate. Are sprouts the ultimate side... or should they be left waaaay to the side?
However you do Christmas #EveryonesWelcome at Tesco.",December 10 at 9:30 PM,540 Comments150 Shares1.1M Views,945,Tesco
20,"All year round, our Community Food Connection programme provides food essentials to people in need and stops good food from going to waste. So far, we’ve donated 36 million meals and will support thousands of groups like Byker Community Centre at Christmas.",December 5 at 4:00 PM,28 Comments69 Shares40K Views,193,Tesco
22,"Heard about our Halloumi fries? Grab all the crunchy golden goodness you can handle this weekend with our 3 for 2 offer on Christmas party food in-store. Find out what had the Sun Savers so excited!
However you do Christmas #EveryonesWelcome at Tesco.
T&Cs: Selected stores. Subject to availability.",December 5 at 2:00 PM,96 Comments13 Shares,180,Tesco
24,"White, red, or bubbles? Just don’t forget the sherry!
However you’re celebrating this Christmas #EveryonesWelcome at Tesco.",November 26 at 9:15 PM,150 Comments85 Shares1.1M Views,828,Tesco
26,"Food that’s better for you, your wallet and the planet. We’re partnering with WWF UK to deliver just that. Find out more at tes.co/Sustainability",November 22 at 3:58 PM,80 Comments52 Shares32K Views,265,Tesco
28,"Pudding. Or is it afters? For 22% of us, it's chocolate. For 7%, cheese takes the biscuit.
However you do desserts #EveryonesWelcome at Tesco.",November 21 at 8:52 AM,135 Comments79 Shares1M Views,930,Tesco
30,"Hear the story of how one mum just changed nappies for the better. With a little help from Tesco.
Watch Laura's story below.",November 9,"880 Comments3,806 Shares569K Views",10K,Tesco
32,"Are you one of the 64% sitting down to turkey this year? Or could it be goose or cauliflower wellington?
Whatever you sit down to this Christmas #EveryonesWelcome at Tesco.",November 8,75 Comments19 Shares23K Views,149,Tesco
34,"We know that everyone's Christmas is unique. Whether you're sitting down to turkey, beef, or cauliflower wellington this year, we’ve got Christmas covered, with all the trimmings.
However you do Christmas #EveryonesWelcome at Tesco.",November 6,178 Comments152 Shares56K Views,422,Tesco
38,"To fight #PlasticWaste, we’ve introduced a ‘BYO containers’ policy at our deli counters. We’ll wrap your food in recyclable paper for you to take home in a multi-use plastic container.
Find out more about our #PlasticWaste initiatives here: tes.co/Plastic",October 18,170 Comments130 Shares29K Views,540,Tesco
40,Big thanks to Jay for all your great help at our Yorkshire branch!,October 17,"240 Comments1,114 Shares",5.4K,Tesco
42,"We're so proud of Marie from our Tesco Extra store in Burnley. She cropped her beautiful locks to raise over £1,600 for Macmillan Cancer Support and Pendleside Hospice. Marie, you truly went above and beyond!
#PendlesideCorp #Macmillan",October 16,95 Comments51 Shares,2K,Tesco
44,"Fancy a takeaway? Together with Jamie Oliver we’ve come up with a veggie noodle stir-fry that’s more delicious and healthier than ordering in! Give it a try tonight, find everything you need here... tes.co/VeggieNoodle #TescoAndJamie",September 25,116 Comments21 Shares14K Views,139,Tesco
46,"We made over 900 kg of recycled plastic hit the road when we
resurfaced our Dumfries car park! It’s one of the steps we're
taking towards reducing #PlasticWaste.
Read about our wider commitment here: http://tes.co/Plastic",September 19,204 Comments186 Shares91K Views,1K,Tesco
48,"The team at Brewgooder is on an amazing mission to bring clean water to communities in Malawi and beyond. Using beer! We’re very proud to get behind their Clean Water Lager, with 100% of proceeds going to clean water charities. #DrinkBeerGiveWater #PlasticFree http://tes.co/Brewgooder",September 13,51 Comments24 Shares16K Views,132,Tesco
50,"Mmm! Oooh! Delicious! So good! Oh, yeah!
Jamie Oliver joins Tesco to put the delicious into healthier, affordable recipes #TescoandJamie.... In-store and online now tes.co/HealthyMadeEasy",September 12,121 Comments34 Shares24K Views,293,Tesco
