,Post_Content,Date,Comments_Shares,All_Responses,Brand
0,,,,,asda
1,,,,,asda
2,,,,,asda
3,,,,,asda
4,,,,,asda
5,,,,,asda
6,,,,,asda
7,"Today is Local Charities Day – recognising the great work charities do in the local community. Our stores' community champions across the country support hundreds of charities and good causes every day – giving their time and arranging financial support through our charitable arm the Asda Foundation.
Here are colleagues from our Beeston store in Leeds presenting cheques to South Leeds Live at Home Scheme to help the group provide Christmas food parcels to older, vulnerable members of the local community and help them feel less isolated, and to St Andrew's Pantomime Group for new costumes and props. See how else the Asda Foundation is helping local charities this Christmas here:
http://bit.ly/2EhnH2x",Yesterday at 10:00 AM,84 Comments177 Shares,4K,asda
8,"Today is Local Charities Day – recognising the great work charities do in the local community. Our stores' community champions across the country support hundreds of charities and good causes every day – giving their time and arranging financial support through our charitable arm the Asda Foundation.
Here are colleagues from our Beeston store in Leeds presenting cheques to South Leeds Live at Home Scheme to help the group provide Christmas food parcels to older, vulnerable members of the local community and help them feel less isolated, and to St Andrew's Pantomime Group for new costumes and props. See how else the Asda Foundation is helping local charities this Christmas here:
http://bit.ly/2EhnH2x",Yesterday at 10:00 AM,84 Comments177 Shares,4K,asda
9,"We're loving all the photos people are sharing on social media and the things they're saying about our Free From Christmas food🎄
Jo McMillan, who helps develop the Free From products, blogs about the inspiration behind the range here: http://bit.ly/2EhA4vq",December 13 at 3:00 PM,1.5K Comments950 Shares,6.2K,asda
10,,,,,asda
11,,,,,asda
12,"Colleagues at our Hyde store were touched to receive a letter from pensioner Jean thanking our home shopping driver Arthur for his help when she collapsed at home.
Jean, who's 84, had passed out shortly before Arthur arrived with her shopping. Although she told Arthur she was fine he stayed with her to unpack her shopping and make sure she was all right. Jean was admitted to hospital and has since made a good recovery – and one of the first things she did after she came home was to write to the store to say how much she appreciated Arthur's help. Jean said: ""I just thought how nice that a young man should be so caring. It just moved me. All the Asda drivers are nice but he was exceptionally nice."" Read more: http://bit.ly/2Ei0Xzt",December 13 at 11:54 AM,546 Comments668 Shares,10K,asda
13,"Colleagues at our Hyde store were touched to receive a letter from pensioner Jean thanking our home shopping driver Arthur for his help when she collapsed at home.
Jean, who's 84, had passed out shortly before Arthur arrived with her shopping. Although she told Arthur she was fine he stayed with her to unpack her shopping and make sure she was all right. Jean was admitted to hospital and has since made a good recovery – and one of the first things she did after she came home was to write to the store to say how much she appreciated Arthur's help. Jean said: ""I just thought how nice that a young man should be so caring. It just moved me. All the Asda drivers are nice but he was exceptionally nice."" Read more: http://bit.ly/2Ei0Xzt",December 13 at 11:54 AM,546 Comments668 Shares,10K,asda
14,"""American Jim"" always greets customers with a smile at his checkout in Asda Falkirk.
People manager Carol Johnstone says: ""We get lots of nice customer comments about him all the time. They all call him ""American Jim"". He's a really lovely man – the type of man who would go out of his way for anyone. Customers will go to him every day because he's so happy; he has a smiling face and he cares."" Find out more about Jim: http://bit.ly/2G8Wem8",December 12 at 3:41 PM,300 Comments237 Shares,5K,asda
15,"""American Jim"" always greets customers with a smile at his checkout in Asda Falkirk.
People manager Carol Johnstone says: ""We get lots of nice customer comments about him all the time. They all call him ""American Jim"". He's a really lovely man – the type of man who would go out of his way for anyone. Customers will go to him every day because he's so happy; he has a smiling face and he cares."" Find out more about Jim: http://bit.ly/2G8Wem8",December 12 at 3:41 PM,300 Comments237 Shares,5K,asda
16,"Every year our Carlisle colleague Neiliann brings smiles to the faces of everyone at the store by transforming herself into 'Mrs Christmas'.
Neiliann says she's always loved Christmas, and customers young and old enjoy taking selfies with her wearing her fab outfits as they get more and more festive through December. Her colleague Kelly said: ""She ends up with about six battery packs on for all the lights on her jumper! She puts tinsel and glitter in her hair and her shoes – you wouldn't believe the effort she goes to.""",December 9 at 10:00 AM,194 Comments204 Shares,5.7K,asda
