,Post_Content,Date,Comments_Shares,All_Responses,Brand
9,The Christmas lights can wait. #TooGoodToWait https://bit.ly/2ABcbLT,December 10 at 6:15 AM,3 Comments9 Shares10K Views,101,waitroseandpartners
11,"Our raspberry gin cocktail is a delicious festive tipple.
Sprinkle with Cooks' Ingredients Raspberry Dust to finish.
Recipe: https://bit.ly/2Rd4EKF",December 8 at 12:00 PM,113 Comments52 Shares16K Views,286,waitroseandpartners
12,Playing charades can wait. #TooGoodToWait https://bit.ly/2BHaWg6,December 6 at 6:15 AM,16 Comments23 Shares9.7K Views,123,waitroseandpartners
14,"Who's baking this weekend for Stir-up Sunday?
Martha Collison's spiced rum and white chocolate Christmas cake is the ultimate festive bake.
Recipe: https://bit.ly/2OX0tQR",November 24 at 10:00 AM,87 Comments37 Shares24K Views,313,waitroseandpartners
16,Watching Christmas ads can wait. #TooGoodToWait https://bit.ly/2Kj1i68,November 19 at 10:15 AM,121 Comments273 Shares32K Views,628,waitroseandpartners
18,"Sometimes even true love can wait. #TooGoodToWait
https://bit.ly/2z7jsn4",November 14 at 10:15 AM,34 Comments38 Shares13K Views,165,waitroseandpartners
20,"Singing jingle bells can wait. #TooGoodToWait
https://bit.ly/2zSE4Pe",November 13,24 Comments37 Shares12K Views,180,waitroseandpartners
22,"Our prosecco and cranberry cocktail is the ultimate spooky showstopper!
Remove the Cointreau and swap the fizz for lemonade to make it suitable for kids too.
Recipe: https://bit.ly/2RjIMgh",October 26,161 Comments74 Shares29K Views,285,waitroseandpartners
26,"Our new #beautifullysimple Gujarati-style sweet potato curry is both simple to shop and simple to cook.
Pick up all the ingredients in store from the Beautifully Simple chiller at your local Waitrose & Partners now.
Find out more: https://bit.ly/2pOmdnS",October 18,74 Comments35 Shares13K Views,151,waitroseandpartners
28,"Our new black garlic is one of 100 lines added to our Cook's Ingredients range.
Sweet and syrupy with hints of balsamic vinegar it's delicious served on toasted bruschetta with sundried tomatoes.
Explore the new range: https://bit.ly/2DEpMH9",October 1,202 Comments100 Shares183K Views,684,waitroseandpartners
30,"Our new #beautifullysimple mango chicken, cashew & coconut rice stir fry is both simple to shop and simple to cook.
Pick up all the ingredients in store from the Beautifully Simple chiller at your local Waitrose & Partners now.
Find out more: https://bit.ly/2xQIs0a",September 26,47 Comments27 Shares10K Views,168,waitroseandpartners
32,"All our fruit and veg bags will be home compostable by spring 2019. Our 5p single-use carrier bags will also be removed from all shops by March 2019.
In total this will save 134 million plastic bags, the equivalent of 500 tonnes of plastic a year.
Find out more about how we’re reducing our impact on the environment: https://bit.ly/2MWHxFZ",September 15,"757 Comments1,594 Shares",15K,waitroseandpartners
34,"Ready in just 8 minutes, our rainbow tofu bowl is low in saturated fat and a tasty vegan dinner.
Recipe: https://bit.ly/2wYylab",September 13,12 Comments22 Shares8.2K Views,103,waitroseandpartners
36,"Ready in just 8 minutes, our rainbow tofu bowl is low in saturated fat and a tasty vegan dinner.
Recipe: https://bit.ly/2wYylab",September 13,137 Comments112 Shares325K Views,1K,waitroseandpartners
38,Discover behind the scenes and the making of the Bohemian Rhapsody Waitrose & Partners + John Lewis & Partners ad 🌩️ 🚀 🎤,September 8,93 Comments160 Shares31K Views,476,waitroseandpartners
44,"Three delicious ways to enjoy spinach. Which recipe will you try?
Sesame: https://bit.ly/2OAyLtJ
Breakfast smoothie: https://bit.ly/2KNVjVn
Spinach, chicken & walnut salad: https://bit.ly/2Mj4sKq",August 27,126 Comments365 Shares416K Views,1.2K,waitroseandpartners
46,The ultimate weekend treat using our irresistible Waitrose 1 Summer Blush Strawberries: https://bit.ly/2nql8S8,August 17,457 Comments577 Shares,1K,waitroseandpartners
48,"Our exclusive Waitrose 1 Summer Blush Strawberries are a seasonal sensation.
With their intense flavour, these are British strawberries at their best.
Shop in store or online now: https://bit.ly/2nDGFXL",August 17,65 Comments30 Shares176K Views,891,waitroseandpartners
50,"Ready in 30 minutes this lovely, colourful pasta dish is an easy midweek meal livened up with a kick of chilli.
Recipe: https://bit.ly/2vCnemE",August 15,686 Comments851 Shares459K Views,3.1K,waitroseandpartners
52,"Our recipe for cauliflower antipasti salad is ready in just 10 minutes and 2 simple steps, making it perfect for a quick and easy midweek meal.
Recipe: https://bit.ly/2vo3RNP",August 8,220 Comments326 Shares333K Views,1.3K,waitroseandpartners
54,"From tasty antipasti and pizzas, to our finest Waitrose 1 pastas explore our range of delicious Italian food and drink.
Shop in store or online now: https://bit.ly/2O3QSYx",August 3,44 Comments32 Shares207K Views,382,waitroseandpartners
56,"Ready in under 25 minutes, our massaman lamb cutlets make for a quick dinner. Serve with peanut green beans to complete this quick and easy dish. Recipe: https://bit.ly/2NRfFyO",August 1,326 Comments497 Shares584K Views,1.6K,waitroseandpartners
58,"In the coming weeks, we're removing disposable takeaway cups from branches in your local area to reduce plastic and packaging waste.
Remember to bring your reusable cup when you get your myWaitrose tea or coffee. #KeepYourCup
Find out more: https://bit.ly/2LeF8pc",July 30,264 Comments854 Shares87K Views,2.2K,waitroseandpartners
60,"Grilled fruit intensifies flavours by caramelising the natural sugars. Try this tasty trick this summer and serve in a salad, as a side or as an after dinner treat. Shop now: https://bit.ly/2JNTabW",July 26,26 Comments35 Shares16K Views,110,waitroseandpartners
62,Ready in just 15 minutes our zingy prawn & charred gem salad is a simple and light summer dish. Recipe: https://bit.ly/2us2mxN,July 23,189 Comments317 Shares452K Views,1.4K,waitroseandpartners
64,"Tonight doesn't need to be any more stressful. Our quick and easy recipe for pulled pork nachos is perfect for keeping your eyes on the game. Recipe: https://bit.ly/2tVmYOC
#ItsComingHome!",July 11,377 Comments308 Shares330K Views,1.1K,waitroseandpartners
66,Our recipe for burrata salad with dukkah is ready in just 20 mins - perfect for a quick weekday meal. Recipe: https://bit.ly/2KRzuVT,July 9,347 Comments419 Shares553K Views,1.8K,waitroseandpartners
68,"British strawberries, broken meringue and whipped cream - our Eton Mess makes for a truly indulgent summertime treat. Recipe: https://bit.ly/2tLyjAG",July 6,26 Comments52 Shares19K Views,250,waitroseandpartners
70,"Our seared halloumi with strawberry, chickpea and chilli salsa is ready in only 25 minutes. Ready in just 3 steps it's a quick and easy summer meal. Recipe: https://bit.ly/2K6v9S9",July 4,"1.2K Comments1,473 Shares620K Views",3.5K,waitroseandpartners
72,"Enjoy 3 for £10 on a selection of our barbecue lines, from harissa and date lamb kebabs to chorizo style sausage whorls - perfect for the weekend heatwave.
Shop in store or online: https://bit.ly/2lqIfLs",June 29,14 Comments17 Shares16K Views,98,waitroseandpartners
74,"Ready in just 25 mins, try our 3-step recipe for Sizzling lamb with courgette couscous. Recipe: https://bit.ly/2yquCVV",June 28,411 Comments445 Shares378K Views,1.5K,waitroseandpartners
76,"Try our recipe for Saffron chicken with lemon and olives, with just 3 steps and only 6 ingredients. Find out more: https://bit.ly/2K77joE",June 27,198 Comments577 Shares417K Views,1.7K,waitroseandpartners
78,"Easy to prepare and cooked in only 35 minutes, wild Alaskan salmon makes for a healthier dinner that’s high in omega 3. Serve with tray-baked veg and extra dill for flavour. Recipe https://bit.ly/2K3igrh",June 25,202 Comments518 Shares574K Views,2.4K,waitroseandpartners
80,Our recipe for Keralan green bean curry is tasty and ready in just 30 minutes. It's also gluten free and vegan. Recipe: https://bit.ly/2JOaNJv,June 21,280 Comments504 Shares508K Views,1.5K,waitroseandpartners
82,Who’s seen our exciting new vegetarian and vegan range? With 60% more choice there is lots to enjoy. Shop in store or online: https://bit.ly/2JJfkB2,June 19,786 Comments356 Shares434K Views,2.1K,waitroseandpartners
84,"Whatever your plans this weekend, enjoy 20% off selected items in our new barbecue and pizza ranges. Shop in store and online now: https://bit.ly/2y736fZ",June 15,26 Comments52 Shares332K Views,750,waitroseandpartners
86,Whatever your plans this weekend enjoy 20% off a selection of our barbecue range and new pizzas. Shop instore or online now: https://bit.ly/2y736fZ,June 15,8 Comments6.5K Views,50,waitroseandpartners
88,"Looking for #beautifullysimple dinner inspiration? Try our chicken harissa meatball one-pot recipe, made with seven ingredients and ready in three steps. Find out more: https://bit.ly/2xqUsZf",June 6,260 Comments396 Shares521K Views,1.7K,waitroseandpartners
90,Enjoy a healthier sweet treat with our delicious banana and strawberry frozen yogurt. Recipe: https://bit.ly/2H8lCE3,June 4,"424 Comments1,747 Shares611K Views",4.3K,waitroseandpartners
92,"Three delicious ways to cook with British new potatoes. Which recipe will you try?
Gratin with bacon and watercress: https://bit.ly/2IAVmYC
Spiced: https://bit.ly/2x1XH9q
Potato salad: https://bit.ly/2kgtdHG",May 29,"590 Comments2,042 Shares956K Views",3.7K,waitroseandpartners
94,Congratulations to the happy couple from all of us at Waitrose #RoyalWedding,May 19,173 Comments196 Shares375K Views,5.9K,waitroseandpartners
96,"Try our recipe for a zesty lemon and elderflower roulade, inspired by the flavours of the #RoyalWedding cake: https://bit.ly/2Ig4PjA",May 17,224 Comments238 Shares444K Views,1.2K,waitroseandpartners
100,"Try our #beautifullysimple 7 ingredient recipe for carrots, feta & grains with pomegranate molasses. It's made with our Cooks' Ingredients zaatar spice blend, so it's packed full of flavour.
Find out more: https://bit.ly/2KerWff",May 16,173 Comments202 Shares389K Views,1.1K,waitroseandpartners
102,"Start the week with our 10-minute recipe for #beautifullysimple gazpacho with goat's cheese & sourdough. Pick up the ingredients in store.
Find out more: https://bit.ly/2HWZ39E",May 14,196 Comments253 Shares432K Views,1.3K,waitroseandpartners
104,"British asparagus is in season now. Try our simple 3 step recipe with an almond sauce for a lovely light lunch.
Find the recipe here: https://bit.ly/2rkTJDu",May 4,251 Comments348 Shares286K Views,1.8K,waitroseandpartners
106,"What to cook tonight? Try our delicious prawn spaghetti lunghi with lime & chilli. Made from the best fresh ingredients and with only three steps.
Pick up the ingredients at your local Waitrose now.
Find out more: https://bit.ly/2EQTljZ",April 28,114 Comments97 Shares30K Views,461,waitroseandpartners
108,"Our delicious Bucatini pasta with oven-roasted tomatoes and basil is a #beautifullysimple recipe, made from the best fresh ingredients and with only three steps.
Pick up the ingredients at your local Waitrose now.
Find out more: https://bit.ly/2qC8DE7",April 22,57 Comments91 Shares26K Views,414,waitroseandpartners
