Date,Year,Brand,Post_Content,All_Responses,Comments,Shares,Views
2018-12-08 00:00:00,2018,Sainsburys,"Bake a festive showstopper with Sainsbury’s magazine’s heavenly gingerbread profiteroles, filled with a roasted white chocolate filling. Get the recipe: http://bit.ly/2DZ1zKg",132,74,23,0
2018-12-05 00:00:00,2018,Sainsburys,"Get in the party spirit with Sainsbury’s magazine’s December issue – out now! Packed with 47 new recipes including festive treats from Bake Off’s Liam Charles, a kitsch party menu for New Year, indulgent veggie dishes and showstopping meat centrepieces. Take a look inside: http://bit.ly/2E0XxBe",142,33,5,18000
2018-12-01 00:00:00,2018,Sainsburys,Harry and Meghan’s wedding cake maker Claire Ptak serves up a cheesecake fit for royalty. Get the spiced white chocolate and cherry recipe from Sainsbury’s magazine: http://bit.ly/2DOvyEv,193,59,26,0
2018-11-29 00:00:00,2018,Sainsburys,These cookie-cup mince pies are deliciously chewy. They make a great Christmas gift (if you can bear to part with them)! Get the Sainsbury’s magazine recipe: http://bit.ly/2DO2Aok,187,34,22,0
2018-11-26 00:00:00,2018,Sainsburys,We need your help to brighten 1 million Christmases this season! Find our food bank priority signs in store and donate if you can 🌟,2200,180,710,627000
2018-11-25 00:00:00,2018,Sainsburys,Did you know you can make your Christmas pudding in a slow cooker? Sainsbury’s magazine’s recipe is jam-packed with fruit and flavoured with amaretto. Get it here: http://bit.ly/2zm4lX1,208,80,58,0
2018-11-22 00:00:00,2018,Sainsburys,Kids AND adults will love making these cute reindeer crispie pops. Get the Sainsbury’s magazine recipe: http://bit.ly/2OO65Nh,273,97,67,0
2018-11-19 00:00:00,2018,Sainsburys,Calling all cheese lovers! Christmas really has come early 🧀🎄,898,1500,455,461000
2018-11-15 00:00:00,2018,Sainsburys,*Watches on repeat for the kid dressed as a plug*,26000,12000,17918,2200000
2018-11-14 00:00:00,2018,Sainsburys,"He didn't choose the plug life, the plug life chose him 🔌🎄",29000,23000,14616,1800000
2018-11-12 00:00:00,2018,Sainsburys,🎶We give all we’ve got for the ones we love🎶 🌟❤️🎄,17000,4100,12460,1200000
2018-11-10 00:00:00,2018,Sainsburys,Drink your cocktails and eat them too with Sainsbury’s magazine’s fabulous espresso martini cake. Get the recipe http://bit.ly/2Ojhmoy,1400,1100,585,102000
2018-11-08 00:00:00,2018,Sainsburys,Stuff this mulled beef brisket into wraps with coleslaw for a delicious sharing feast with friends. Get the Sainsbury’s magazine recipe: http://bit.ly/2OcPJxD,135,49,13,0
2018-11-05 00:00:00,2018,Sainsburys,Who do you wear your poppy for? You can remember 100 years of bravery by picking up a poppy and donating in store,1500,143,251,364000
2018-11-04 00:00:00,2018,Sainsburys,Bake this fabulous chocolate ginger bundt cake for your Bonfire Night party. Get the Sainsbury’s magazine recipe: http://bit.ly/2OdKAFn,162,31,19,0
2018-11-01 00:00:00,2018,Sainsburys,"That's right, a YORKSHIRE PUD is starring in this year's Christmas sarnie (& there's cheese sauce too) ❤️️⭐️🎄",247,245,73,499000
2018-10-31 00:00:00,2018,Sainsburys,"Get ready for Christmas with Sainsbury’s magazine’s November issue – out now! Packed with 45 inspiring new recipes including showstopping desserts, edible gifts and fun ways to decorate your Christmas cake, plus every issue comes with a FREE cook’s calendar. Take a look inside: http://bit.ly/2OeDXCN",263,43,28,24000
2018-10-29 00:00:00,2018,Sainsburys,Don't have a pumpkin? It's not a problem...,1200,839,389,322000
2018-10-27 00:00:00,2018,Sainsburys,This haunted house cake is surprisingly easy to make and is the ultimate Halloween party showstopper! Get the Sainsbury’s magazine recipe: http://bit.ly/2Ajo2Q6,195,23,32,0
2018-10-26 00:00:00,2018,Sainsburys,"We’re trialling Talking Tables in some of our cafes, a place where you can have a cuppa and natter on those days when you just need someone to talk to ☺️",10000,1100,6968,851000
2018-10-24 00:00:00,2018,Sainsburys,Stuff your spuds with the spiced flavours of Bloody Mary and loads of cheese – yum! Get the Sainsbury’s magazine recipe: http://bit.ly/2AhGfgD,103,19,17,0
2018-10-22 00:00:00,2018,Sainsburys,Hands up if this is totally you ✋👻🎃,29000,10000,18257,3500000
2018-10-21 00:00:00,2018,Sainsburys,These fun cola spider cupcakes are the perfect Halloween party piece. Kids will love decorating them! Get the Sainsbury’s magazine recipe: http://bit.ly/2AeVo2s,102,31,18,0
2018-10-20 00:00:00,2018,Sainsburys,"*Warning* Sainsbury’s magazine’s sesame honey halloumi fries are incredibly moreish. Try them for your next party! Get the recipe:
http://bit.ly/2AiiqoZ",881,823,192,0
2018-10-19 00:00:00,2018,Sainsburys,"Let us surprise you with strange masks, props and mooore this Halloween 🎃http://bit.ly/2RLu0zU",541,102,230,0
