,Date,Brand,Post_Content,All_Responses,Comments,Shares,Views,Contains_Link,Contains_Video
0,Yesterday at 1:12 PM,Sainsburys,What a Bude-iful week! We gave one of our car park tunnels a very special festive makeover and just look at the reaction! ✨,6800,1000,3266,653000,False,True
1,December 8 at 4:00 PM,Sainsburys,"Bake a festive showstopper with Sainsbury’s magazine’s heavenly gingerbread profiteroles, filled with a roasted white chocolate filling. Get the recipe: http://bit.ly/2DZ1zKg",132,74,23,0,True,False
2,December 5 at 5:00 PM,Sainsburys,"Get in the party spirit with Sainsbury’s magazine’s December issue – out now! Packed with 47 new recipes including festive treats from Bake Off’s Liam Charles, a kitsch party menu for New Year, indulgent veggie dishes and showstopping meat centrepieces. Take a look inside: http://bit.ly/2E0XxBe",142,33,5,18000,True,True
3,December 1 at 3:59 PM,Sainsburys,Harry and Meghan’s wedding cake maker Claire Ptak serves up a cheesecake fit for royalty. Get the spiced white chocolate and cherry recipe from Sainsbury’s magazine: http://bit.ly/2DOvyEv,193,59,26,0,True,False
4,November 29 at 3:59 PM,Sainsburys,These cookie-cup mince pies are deliciously chewy. They make a great Christmas gift (if you can bear to part with them)! Get the Sainsbury’s magazine recipe: http://bit.ly/2DO2Aok,187,34,22,0,True,False
5,November 26 at 3:00 PM,Sainsburys,We need your help to brighten 1 million Christmases this season! Find our food bank priority signs in store and donate if you can 🌟,2200,180,710,627000,False,True
6,November 25 at 12:29 PM,Sainsburys,Did you know you can make your Christmas pudding in a slow cooker? Sainsbury’s magazine’s recipe is jam-packed with fruit and flavoured with amaretto. Get it here: http://bit.ly/2zm4lX1,208,80,58,0,True,False
7,November 22 at 5:00 PM,Sainsburys,Kids AND adults will love making these cute reindeer crispie pops. Get the Sainsbury’s magazine recipe: http://bit.ly/2OO65Nh,273,97,67,0,True,False
8,November 19 at 12:30 PM,Sainsburys,Calling all cheese lovers! Christmas really has come early 🧀🎄,898,1500,455,461000,False,True
9,November 15 at 7:00 AM,Sainsburys,*Watches on repeat for the kid dressed as a plug*,26000,12000,17918,2200000,False,True
