,Post_Content,Date,Comments_Shares,All_Responses,Brand
9,What a Bude-iful week! We gave one of our car park tunnels a very special festive makeover and just look at the reaction! ✨,Yesterday at 1:12 PM,"1K Comments3,266 Shares653K Views",6.8K,Sainsburys
11,"Bake a festive showstopper with Sainsbury’s magazine’s heavenly gingerbread profiteroles, filled with a roasted white chocolate filling. Get the recipe: http://bit.ly/2DZ1zKg",December 8 at 4:00 PM,74 Comments23 Shares,132,Sainsburys
12,"Get in the party spirit with Sainsbury’s magazine’s December issue – out now! Packed with 47 new recipes including festive treats from Bake Off’s Liam Charles, a kitsch party menu for New Year, indulgent veggie dishes and showstopping meat centrepieces. Take a look inside: http://bit.ly/2E0XxBe",December 5 at 5:00 PM,33 Comments5 Shares18K Views,142,Sainsburys
14,Harry and Meghan’s wedding cake maker Claire Ptak serves up a cheesecake fit for royalty. Get the spiced white chocolate and cherry recipe from Sainsbury’s magazine: http://bit.ly/2DOvyEv,December 1 at 3:59 PM,59 Comments26 Shares,193,Sainsburys
16,These cookie-cup mince pies are deliciously chewy. They make a great Christmas gift (if you can bear to part with them)! Get the Sainsbury’s magazine recipe: http://bit.ly/2DO2Aok,November 29 at 3:59 PM,34 Comments22 Shares,187,Sainsburys
18,We need your help to brighten 1 million Christmases this season! Find our food bank priority signs in store and donate if you can 🌟,November 26 at 3:00 PM,180 Comments710 Shares627K Views,2.2K,Sainsburys
20,Did you know you can make your Christmas pudding in a slow cooker? Sainsbury’s magazine’s recipe is jam-packed with fruit and flavoured with amaretto. Get it here: http://bit.ly/2zm4lX1,November 25 at 12:29 PM,80 Comments58 Shares,208,Sainsburys
22,Kids AND adults will love making these cute reindeer crispie pops. Get the Sainsbury’s magazine recipe: http://bit.ly/2OO65Nh,November 22 at 5:00 PM,97 Comments67 Shares,273,Sainsburys
24,Calling all cheese lovers! Christmas really has come early 🧀🎄,November 19 at 12:30 PM,1.5K Comments455 Shares461K Views,898,Sainsburys
26,*Watches on repeat for the kid dressed as a plug*,November 15 at 7:00 AM,"12K Comments17,918 Shares2.2M Views",26K,Sainsburys
28,"He didn't choose the plug life, the plug life chose him 🔌🎄",November 14 at 4:55 PM,"23K Comments14,616 Shares1.8M Views",29K,Sainsburys
30,🎶We give all we’ve got for the ones we love🎶 🌟❤️🎄,November 12,"4.1K Comments12,460 Shares1.2M Views",17K,Sainsburys
32,Drink your cocktails and eat them too with Sainsbury’s magazine’s fabulous espresso martini cake. Get the recipe http://bit.ly/2Ojhmoy,November 10,1.1K Comments585 Shares102K Views,1.4K,Sainsburys
34,Stuff this mulled beef brisket into wraps with coleslaw for a delicious sharing feast with friends. Get the Sainsbury’s magazine recipe: http://bit.ly/2OcPJxD,November 8,49 Comments13 Shares,135,Sainsburys
36,Who do you wear your poppy for? You can remember 100 years of bravery by picking up a poppy and donating in store,November 5,143 Comments251 Shares364K Views,1.5K,Sainsburys
38,Bake this fabulous chocolate ginger bundt cake for your Bonfire Night party. Get the Sainsbury’s magazine recipe: http://bit.ly/2OdKAFn,November 4,31 Comments19 Shares,162,Sainsburys
40,"That's right, a YORKSHIRE PUD is starring in this year's Christmas sarnie (& there's cheese sauce too) ❤️️⭐️🎄",November 1,245 Comments73 Shares499K Views,247,Sainsburys
42,"Get ready for Christmas with Sainsbury’s magazine’s November issue – out now! Packed with 45 inspiring new recipes including showstopping desserts, edible gifts and fun ways to decorate your Christmas cake, plus every issue comes with a FREE cook’s calendar. Take a look inside: http://bit.ly/2OeDXCN",October 31,43 Comments28 Shares24K Views,263,Sainsburys
44,Don't have a pumpkin? It's not a problem...,October 29,839 Comments389 Shares322K Views,1.2K,Sainsburys
46,This haunted house cake is surprisingly easy to make and is the ultimate Halloween party showstopper! Get the Sainsbury’s magazine recipe: http://bit.ly/2Ajo2Q6,October 27,23 Comments32 Shares,195,Sainsburys
48,"We’re trialling Talking Tables in some of our cafes, a place where you can have a cuppa and natter on those days when you just need someone to talk to ☺️",October 26,"1.1K Comments6,968 Shares851K Views",10K,Sainsburys
50,Stuff your spuds with the spiced flavours of Bloody Mary and loads of cheese – yum! Get the Sainsbury’s magazine recipe: http://bit.ly/2AhGfgD,October 24,19 Comments17 Shares,103,Sainsburys
54,Hands up if this is totally you ✋👻🎃,October 22,"10K Comments18,257 Shares3.5M Views",29K,Sainsburys
56,These fun cola spider cupcakes are the perfect Halloween party piece. Kids will love decorating them! Get the Sainsbury’s magazine recipe: http://bit.ly/2AeVo2s,October 21,31 Comments18 Shares,102,Sainsburys
58,"*Warning* Sainsbury’s magazine’s sesame honey halloumi fries are incredibly moreish. Try them for your next party! Get the recipe:
http://bit.ly/2AiiqoZ",October 20,823 Comments192 Shares,881,Sainsburys
60,"Let us surprise you with strange masks, props and mooore this Halloween 🎃http://bit.ly/2RLu0zU",October 19,102 Comments230 Shares,541,Sainsburys
62,"It’s never too early to bake your Christmas cake. Try Sainsbury’s magazine’s whisky and ginger number, with added festive warmth from three types of ginger. Get the recipe: http://bit.ly/2CAX6Oa",October 14,88 Comments89 Shares,310,Sainsburys
64,Meat eaters! Thought you didn't like vegan food? This might change your mind...,October 12,"1.5K Comments1,145 Shares1M Views",2.4K,Sainsburys
66,"Frying pan sage and onion toad in the hole… oh autumn food, we love you! Get the Sainsbury’s magazine recipe: http://bit.ly/2CzqHY9",October 10,99 Comments86 Shares,385,Sainsburys
68,🚨Good deed alert 🚨Got any spare LEGO cards? You can help Lauren to create the most epic LEGO swap-shop ever for the Children at the Royal Marsden Hospital. Find out how to donate in the comments below 👇,October 8,520 Comments922 Shares262K Views,702,Sainsburys
70,The secret ingredient in The Ritz’s shortbread? Cinnamon and a grated egg yolk! The yolk gives a wonderful crumb. Get the recipe from Sainsbury’s magazine: http://bit.ly/2OiSQs4,October 6,38 Comments34 Shares,200,Sainsburys
72,"This bacon and egg fried rice uses a few ingredients that you’ll have kicking about your storecupboard, making it a quick and easy midweek meal for two! Get the Sainsbury’s magazine recipe: http://bit.ly/2OiSCRK",October 3,24 Comments17 Shares,100,Sainsburys
74,Up your bangers and mash game with a mustard and cheese-topped sausage pie! Get the Sainsbury’s magazine recipe: http://bit.ly/2xsfF2H,September 30,155 Comments73 Shares,414,Sainsburys
76,Winter warmer come through 🙌 Aaand it's vegan...,September 28,649 Comments574 Shares400K Views,1.6K,Sainsburys
78,"Sainsbury’s magazine’s October issue is here and it’s only £1! Jam-packed with 40 new recipes including dishes for easy entertaining, spooky Halloween bakes, an autumnal feast, the best-ever Christmas cake, plus loads more. Get your copy today! http://bit.ly/2xrvJlo",September 26,36 Comments10 Shares15K Views,133,Sainsburys
80,Apple pie gets turbo-charged with a cinnamon swirl topping. Get the Sainsbury’s magazine recipe: http://bit.ly/2PQLTLO,September 22,253 Comments194 Shares71K Views,516,Sainsburys
82,Mango chutney is the star ingredient in Sainsbury’s magazine’s sticky chicken with fragrant pilau – on the table in 30 minutes! Get the recipe: http://bit.ly/2PMTY40,September 19,42 Comments21 Shares,198,Sainsburys
84,You won't beet-lieve the tasty goodies you can make 😉,September 18,1.1K Comments391 Shares485K Views,938,Sainsburys
86,This fun rice crispie celebration cake is a fabulous no-bake party piece that feeds 16! Get the Sainsbury’s magazine recipe: http://bit.ly/2MVM5fR,September 15,89 Comments45 Shares,302,Sainsburys
88,"This bacon and pea pasta is like an all-in-one spaghetti carbonara, but with just one pan to wash up. Plus it only costs 62p per serving! Get the Sainsbury’s magazine recipe: http://bit.ly/2MVfBlE",September 12,101 Comments75 Shares,363,Sainsburys
