,Post_Content,Date,Comments_Shares,All_Responses,Brand
0,,,,,lidluk
1,,,,,lidluk
2,,,,,lidluk
3,,,,,lidluk
4,,,,,lidluk
5,,,,,lidluk
6,"Conserve yourself and make your neighbours jelly with our range of Deluxe jams, jellies, preserves and conserves.

In store now
While stocks last, price correct as of 15/12/2018",2 hrs,9 Comments2 Shares,40,lidluk
7,"Conserve yourself and make your neighbours jelly with our range of Deluxe jams, jellies, preserves and conserves.

In store now
While stocks last, price correct as of 15/12/2018",2 hrs,9 Comments2 Shares,40,lidluk
8,"Don't hold back any moooore. This slow cooker will work its magic whilst you get on with enjoying your Christmas.

In store Sunday 16th December
While stocks last, price correct as of 15/12/2018.",6 hrs,92 Comments27 Shares,148,lidluk
9,,,,,lidluk
10,,,,,lidluk
11,"Take a dip in this delicious bed of gooey cheesy goodness.

In store now
While stocks last, price correct as of 14/12/2018",Yesterday at 5:00 PM,181 Comments22 Shares,208,lidluk
12,"Take a dip in this delicious bed of gooey cheesy goodness.

In store now
While stocks last, price correct as of 14/12/2018",Yesterday at 5:00 PM,181 Comments22 Shares,208,lidluk
13,TFW you hit a Brussels sprout piñata and hundreds of pigs in blankets fall all over you. How would you upgrade your Christmas? #LidlChristmasUpgrades,Yesterday at 3:00 PM,22 Comments6 Shares20K Views,43,lidluk
14,TFW you hit a Brussels sprout piñata and hundreds of pigs in blankets fall all over you. How would you upgrade your Christmas? #LidlChristmasUpgrades,Yesterday at 3:00 PM,22 Comments6 Shares20K Views,43,lidluk
15,"These fun unicorn headphones are in store for only £3.49. Now that sounds good.

While stocks last. Price correct as of 14/12/18.",Yesterday at 1:00 PM,95 Comments25 Shares,96,lidluk
16,"These fun unicorn headphones are in store for only £3.49. Now that sounds good.

While stocks last. Price correct as of 14/12/18.",Yesterday at 1:00 PM,95 Comments25 Shares,96,lidluk
17,"Why should the bathroom be the only room missing out on the festive fun (even the loft gets decorations for 11 months of the year).

In store now.
While stocks last, price correct as of 13/12/2018",December 13 at 5:00 PM,91 Comments20 Shares,211,lidluk
18,"Why should the bathroom be the only room missing out on the festive fun (even the loft gets decorations for 11 months of the year).

In store now.
While stocks last, price correct as of 13/12/2018",December 13 at 5:00 PM,91 Comments20 Shares,211,lidluk
19,We've teamed up with our friends at Proper Tasty to bring you this delicious festive salmon recipe. Enjoy!,December 13 at 4:57 PM,28 Comments51 Shares42K Views,207,lidluk
20,We've teamed up with our friends at Proper Tasty to bring you this delicious festive salmon recipe. Enjoy!,December 13 at 4:57 PM,28 Comments51 Shares42K Views,207,lidluk
21,"Dog Christmas Jumpers in store now. Cause every dog has its Christmas Day.


While stocks last. Price correct 13/12/18.",December 13 at 1:00 PM,1.1K Comments253 Shares,635,lidluk
22,"Dog Christmas Jumpers in store now. Cause every dog has its Christmas Day.


While stocks last. Price correct 13/12/18.",December 13 at 1:00 PM,1.1K Comments253 Shares,635,lidluk
23,"So many ways you can light a Christmas pudding… How would you upgrade your Christmas?
#LidlChristmasUpgrades",December 13 at 10:31 AM,6 Comments1 Share11K Views,28,lidluk
24,"So many ways you can light a Christmas pudding… How would you upgrade your Christmas?
#LidlChristmasUpgrades",December 13 at 10:31 AM,6 Comments1 Share11K Views,28,lidluk
25,"Roll up Roll up! These Ultimate Deluxe sausage rolls are the absolute boss!

In store Thursday 13th December.
While stocks last, price correct as of 12/12/2018",December 12 at 9:00 PM,59 Comments9 Shares,145,lidluk
26,"Roll up Roll up! These Ultimate Deluxe sausage rolls are the absolute boss!

In store Thursday 13th December.
While stocks last, price correct as of 12/12/2018",December 12 at 9:00 PM,59 Comments9 Shares,145,lidluk
27,"Wow. Very glow. Much see in the dark. Take your doge on a night time walkie with our LED lead.

In store Thursday 13th December.
While stocks last. Price correct as of 12/12/2018",December 12 at 5:00 PM,818 Comments204 Shares,521,lidluk
28,"Wow. Very glow. Much see in the dark. Take your doge on a night time walkie with our LED lead.

In store Thursday 13th December.
While stocks last. Price correct as of 12/12/2018",December 12 at 5:00 PM,818 Comments204 Shares,521,lidluk
29,"It’ll be a moo-moo here and a moo-moo there with this 40-piece farm play set.
In store now
While stocks last. Price correct as of 12/12/2018",December 12 at 12:00 PM,35 Comments12 Shares,58,lidluk
30,"It’ll be a moo-moo here and a moo-moo there with this 40-piece farm play set.
In store now
While stocks last. Price correct as of 12/12/2018",December 12 at 12:00 PM,35 Comments12 Shares,58,lidluk
31,"It's not a real Christmas party unless these are on the table. Gluten free pigs in blankets are in store Thursday 13th December.

While stocks last, price correct as of 11/12/2018",December 11 at 5:01 PM,117 Comments43 Shares,150,lidluk
32,"It's not a real Christmas party unless these are on the table. Gluten free pigs in blankets are in store Thursday 13th December.

While stocks last, price correct as of 11/12/2018",December 11 at 5:01 PM,117 Comments43 Shares,150,lidluk
33,"Fill your home with the scent of fresh coffee every morning with our excellent Silvercrest espresso machine.

In store Thursday 13th December.
While stocks last, price correct as of 11/12/2018",December 11 at 1:00 PM,56 Comments16 Shares,94,lidluk
34,"Fill your home with the scent of fresh coffee every morning with our excellent Silvercrest espresso machine.

In store Thursday 13th December.
While stocks last, price correct as of 11/12/2018",December 11 at 1:00 PM,56 Comments16 Shares,94,lidluk
35,Have you ever seen such a master-pie-ce? How would you upgrade your Christmas? #LidlChristmasUpgrades,December 10 at 7:00 PM,5 Comments1 Share19K Views,48,lidluk
36,Have you ever seen such a master-pie-ce? How would you upgrade your Christmas? #LidlChristmasUpgrades,December 10 at 7:00 PM,5 Comments1 Share19K Views,48,lidluk
37,"Get all your froth without the faff.
Electric Milk Frother in store Thursday 13th December.
While stocks last, price correct as of 10/12/2018.",December 10 at 5:00 PM,277 Comments49 Shares,297,lidluk
38,"Get all your froth without the faff.
Electric Milk Frother in store Thursday 13th December.
While stocks last, price correct as of 10/12/2018.",December 10 at 5:00 PM,277 Comments49 Shares,297,lidluk
39,"What is life without these Deluxe Mini Festive Pies? Well... the kind of life we never want to know about!

In store now.
While stocks last. Price correct as of 09/12/18.",December 9 at 5:00 PM,26 Comments6 Shares,108,lidluk
40,"What is life without these Deluxe Mini Festive Pies? Well... the kind of life we never want to know about!

In store now.
While stocks last. Price correct as of 09/12/18.",December 9 at 5:00 PM,26 Comments6 Shares,108,lidluk
41,"Night time chills, begone! Our electric blankets are in store now for £29.99.

While stocks last, price correct as of 09/12/2018.",December 9 at 1:00 PM,165 Comments31 Shares,180,lidluk
42,"Night time chills, begone! Our electric blankets are in store now for £29.99.

While stocks last, price correct as of 09/12/2018.",December 9 at 1:00 PM,165 Comments31 Shares,180,lidluk
43,"Luxury champagne & sloe gin Christmas pudding. Yes, we said champagne & sloe gin. Get a move on!

In store now.
While stocks last. Price correct as of 08/12/18.",December 8 at 5:00 PM,63 Comments21 Shares,132,lidluk
44,"Luxury champagne & sloe gin Christmas pudding. Yes, we said champagne & sloe gin. Get a move on!

In store now.
While stocks last. Price correct as of 08/12/18.",December 8 at 5:00 PM,63 Comments21 Shares,132,lidluk
45,"There’s so much they can create with this 430-piece building brick set.

Find out more here - https://www.lidl.co.uk/en/MiddleofLidl.htm?articleId=18646

In store Sunday 9th December....
See More",December 8 at 1:00 PM,23 Comments10 Shares,86,lidluk
46,"There’s so much they can create with this 430-piece building brick set.

Find out more here - https://www.lidl.co.uk/en/MiddleofLidl.htm?articleId=18646

In store Sunday 9th December....
See More",December 8 at 1:00 PM,23 Comments10 Shares,86,lidluk
47,"Enjoy Christmas with this delicious Italian classic and be glad they didn’t keep this one to themselves!

While stocks last. Price correct as of 07/12/2018.",December 7 at 9:00 PM,8 Comments4 Shares,95,lidluk
48,"Enjoy Christmas with this delicious Italian classic and be glad they didn’t keep this one to themselves!

While stocks last. Price correct as of 07/12/2018.",December 7 at 9:00 PM,8 Comments4 Shares,95,lidluk
49,"This Shiatsu foot massager will touch your sole, heal your heels and keep you put toe-gether over the Christmas period.

In store Sunday 9th December.
While stocks last, price correct as of 07/12/2018.",December 7 at 7:00 PM,53 Comments20 Shares,114,lidluk
50,"This Shiatsu foot massager will touch your sole, heal your heels and keep you put toe-gether over the Christmas period.

In store Sunday 9th December.
While stocks last, price correct as of 07/12/2018.",December 7 at 7:00 PM,53 Comments20 Shares,114,lidluk
51,"Gin-gle all the way! Our new Pink Gin is in store now.
While stocks last. Price correct as of 07/12/2018.",December 7 at 4:30 PM,244 Comments51 Shares,350,lidluk
52,"Gin-gle all the way! Our new Pink Gin is in store now.
While stocks last. Price correct as of 07/12/2018.",December 7 at 4:30 PM,244 Comments51 Shares,350,lidluk
53,"Make Christmas a little merrier with these cracking festive costumes.

In store now.
While stocks last, price correct as of 07/12/2018.",December 7 at 2:30 PM,315 Comments91 Shares,277,lidluk
54,"Make Christmas a little merrier with these cracking festive costumes.

In store now.
While stocks last, price correct as of 07/12/2018.",December 7 at 2:30 PM,315 Comments91 Shares,277,lidluk
55,"Wouldn’t it be GRATE if your cheese board looked
just like this? How would you upgrade your Christmas? #LidlChristmasUpgrades",December 7 at 12:26 PM,20 Comments17 Shares19K Views,87,lidluk
56,"Wouldn’t it be GRATE if your cheese board looked
just like this? How would you upgrade your Christmas? #LidlChristmasUpgrades",December 7 at 12:26 PM,20 Comments17 Shares19K Views,87,lidluk
57,"Let the floof show you how to do a Christmas in our cute festive pet costumes!

See the range: https://www.lidl.co.uk/en/MiddleofLidl.htm…

In store now....
See More",December 6 at 5:00 PM,205 Comments42 Shares,167,lidluk
58,"Let the floof show you how to do a Christmas in our cute festive pet costumes!

See the range: https://www.lidl.co.uk/en/MiddleofLidl.htm…

In store now....
See More",December 6 at 5:00 PM,205 Comments42 Shares,167,lidluk
59,"Christmas Dinner inside a Yorkshire Pudding.
(Good stuff-ing, huh?)
How would you upgrade your Christmas? #LidlChristmasUpgrades",December 6 at 12:30 PM,371 Comments127 Shares,534,lidluk
60,"Christmas Dinner inside a Yorkshire Pudding.
(Good stuff-ing, huh?)
How would you upgrade your Christmas? #LidlChristmasUpgrades",December 6 at 12:30 PM,371 Comments127 Shares,534,lidluk
