,Post_Content,Date,Comments_Shares,All_Responses,Brand
0,,,,,theguardian
1,,,,,theguardian
2,,,,,theguardian
3,,,,,theguardian
4,,,,,theguardian
5,,,,,theguardian
6,,,,,theguardian
7,“Just to cure children isn’t enough.”,47 mins,1 Share,8,theguardian
8,“Just to cure children isn’t enough.”,47 mins,1 Share,8,theguardian
9,"“I feel you can be trusted, so you are sitting at my table. But on a friendship level, our values are very different. We would not want to mix with you, because if our children came to your home, they might sit and watch television.”",1 hr,24 Comments26 Shares,96,theguardian
10,,,,,theguardian
11,,,,,theguardian
12,,,,,theguardian
13,“Our people have been brilliant. They understand Sellafield is changing. The mission is now clean-up.”,1 hr,2 Comments7 Shares,41,theguardian
14,“Our people have been brilliant. They understand Sellafield is changing. The mission is now clean-up.”,1 hr,2 Comments7 Shares,41,theguardian
15,"""This is insanity.""
Access to healthcare for millions of Americans is once again being threatened.",13 hrs,121 Comments138 Shares,780,theguardian
16,"""This is insanity.""
Access to healthcare for millions of Americans is once again being threatened.",13 hrs,121 Comments138 Shares,780,theguardian
17,,13 hrs,21 Comments48 Shares,158,theguardian
18,,13 hrs,21 Comments48 Shares,158,theguardian
19,"Tequila lovers “get the party started”, no matter how low-key it may be. Christenings, funerals, informal drinks and nibbles at the local library – the tequila drinker will zhoosh them all up.",14 hrs,55 Comments51 Shares,121,theguardian
20,"Tequila lovers “get the party started”, no matter how low-key it may be. Christenings, funerals, informal drinks and nibbles at the local library – the tequila drinker will zhoosh them all up.",14 hrs,55 Comments51 Shares,121,theguardian
21,"“As if Michael Cohen’s day wasn’t bad enough, here’s his courtroom sketch.”",14 hrs,61 Comments30 Shares,428,theguardian
22,"“As if Michael Cohen’s day wasn’t bad enough, here’s his courtroom sketch.”",14 hrs,61 Comments30 Shares,428,theguardian
23,,15 hrs,38 Comments41 Shares,333,theguardian
24,,15 hrs,38 Comments41 Shares,333,theguardian
25,How I spent it ...,15 hrs,152 Comments32 Shares,286,theguardian
26,How I spent it ...,15 hrs,152 Comments32 Shares,286,theguardian
27,"Law student Parsa Sadat of the University of Reading is among those Iranians who risk being unable to graduate, and possibly having their student visa removed, because they are unable to pay tuition fees.",15 hrs,229 Comments362 Shares,2.4K,theguardian
