word,frequency
price,44.50912537090775
stocks,41.98413322157312
correct,39.843053623762735
just,35.0194970175415
thursday,34.37991476201393
sunday,20.27255317772979
christmas,19.754578420432956
today,18.706236529020266
deluxe,18.17976578791265
tomorrow,17.132964760261554
week,16.59875185497927
time,14.693642157415272
day,14.39316626701135
weekend,13.154372798392224
make,12.685383530545616
ve,12.131891499624853
got,11.939194597625868
ll,11.591896914100053
pick,11.521411920101993
range,10.55134607050687
