word,frequency
using,31.46211335726871
look,29.268255813851134
voucher,27.46059556781464
chance,27.255702625626878
20,26.97056247504667
win,26.693769581032594
online,22.671890304338223
little,17.878871754638173
kids,17.27475711842949
tell,17.23897547219333
pick,17.06101519267252
new,16.631120085229774
simply,14.996423462327266
day,14.929204030973596
10,14.56986043807716
celebrate,14.297181910268671
treat,13.083511355777691
range,13.047695762113715
available,12.323157348893295
pack,11.518648772602997
