word,frequency
christmas,22.9894913463757
make,22.024988802933716
delicious,17.340786474178252
day,16.944847606906666
recipes,16.331307995265806
just,15.112308439858404
easy,13.54202909204071
ve,11.923733103632042
festive,11.712612111896938
little,11.626627383483138
family,11.481511729836303
need,11.426321715873156
weekend,11.39656438785951
online,11.300033466234611
summer,11.113827665586783
finest,10.975465935532863
party,10.902863585082422
sweet,10.394474533863775
time,10.351245367055675
week,10.278265582349412
