word,frequency
recipe,59.52258001471558
delicious,24.021489114174724
read,23.84895109123333
watch,21.46287145227163
try,20.903492577926215
recipes,19.473485392485543
win,17.88701310168387
perfect,17.070545864662595
chocolate,16.85466564021619
christmas,15.148035972620685
comments,14.6526967188311
favourite,14.314597580877164
tell,13.242347315426226
enjoy,12.764915320443851
simple,12.631900540306425
make,11.557232058833161
free,11.478998583621674
dinner,11.397864619916799
ultimate,11.3627632781985
simply,11.166765266932462
